#Artists: id, name, hangul/stylized name, members (female|male|coed), issolo (y|n), id_parentgroup (0 to none), formation date, disband date, social media accounts (semicolon separated list), followers (PHP serialize), followerstop (max followers ever registered)
1,"100%","백퍼센트","male","n",0,"2012","","W=www.100per.kr;T=TOP_100PERCENT;V=ED9233;VS=282;I=100pergram;F=Official100percent","a:4:{s:2:"VS";i:57663;s:1:"T";s:5:"97978";s:1:"F";d:40665;s:1:"I";s:5:"37602";}",234572
2,"24K","투포케이","male","n",0,"2012","","W=cafe.daum.net/official24K;T=24K__OFFICIAL;V=EA429D;VS=355;I=24k__official;K=24K_(band)","a:3:{s:2:"VS";i:50846;s:1:"T";s:5:"76723";s:1:"I";s:6:"106152";}",234115
3,"2AM","투에이엠","male","n",0,"2008","2014","K=2AM_(band);F=2amofficial;T=follow2am","a:2:{s:1:"T";s:6:"493873";s:1:"F";d:5000000;}",5493873
4,"2NE1","투애니원","female","n",0,"2009","2017","K=2NE1;F=2NE1;T=ygladies;I=2ne1official","a:3:{s:1:"T";s:6:"156353";s:1:"F";d:8000000;s:1:"I";s:6:"296756";}",9351517
5,"2PM","투피엠","male","n",0,"2008","","W=2pm.jype.com;T=follow_2pm;F=2pm.jype;V=EF7F;VS=4;I=real_2pmstagram","a:4:{s:2:"VS";i:1310991;s:1:"T";s:7:"1161364";s:1:"F";d:5000000;s:1:"I";s:6:"192361";}",7664716
6,"2YOON","","female","n",7,"2013","2013","","",0
7,"4Minute","포미닛","female","n",0,"2009","2016","K=4Minute;F=4minute.unitedcube;W=4min.co.kr;I=4minute4nia_","a:2:{s:1:"F";d:421000;s:1:"I";s:5:"15300";}",439350
8,"F-ve dolls","파이브돌스","female","n",0,"2011","2015","K=F-ve_Dolls;","",0
9,"9Muses","나인뮤지스","female","n",0,"2010","","W=9muses.co.kr;T=9muses_;F=9musesofficial;K=Nine_Muses_(band);V=E962B9;VS=349;I=official_ninemuses","a:4:{s:2:"VS";i:48306;s:1:"T";s:5:"79243";s:1:"F";d:491000;s:1:"I";s:4:"9720";}",630200
10,"9Muses A","나인뮤지스A","female","n",9,"2016","","","",0
11,"After School","애프터스쿨","female","n",0,"2009","","W=www.pledis.co.kr/html/artist/afterschool;F=pledisAS;T=pledisnews;K=After_School_(band)","a:2:{s:1:"T";s:6:"465753";s:1:"F";d:5000000;}",5465753
12,"Agust D","민윤기","male","y",40,"2016","","I=btssugaaa;K=Suga_(rapper)","a:1:{s:1:"I";s:5:"39822";}",40396
13,"Ailee","에일리","female","y",0,"2011","","K=Ailee;T=itzailee;V=FC855;VS=43;I=aileeonline","a:3:{s:2:"VS";i:750077;s:1:"T";s:7:"1021631";s:1:"I";s:7:"1202906";}",2978393
14,"Akmu","악동뮤지션","coed","n",0,"2012","","K=Akdong_Musician;F=officialAKMU;W=www.yg-akmu.com;V=F36179;VS=189;I=akmu_suhyun","a:3:{s:2:"VS";i:510850;s:1:"F";d:994000;s:1:"I";s:7:"2056632";}",3590440
15,"Amber","엠버","female","y",65,"2015","","K=Amber_Liu_(singer);T=llama_ajol;I=ajol_llama","a:2:{s:1:"T";s:7:"2346863";s:1:"I";s:7:"5276955";}",7630195
16,"AOA","에이오에이","female","n",0,"2012","","K=AOA_(band);F=OfficialAOA;T=official_aoa;V=FEA11;VS=9;I=aoa.8","a:4:{s:2:"VS";i:1417161;s:1:"T";s:6:"308773";s:1:"F";d:3000000;s:1:"I";s:5:"98779";}",4824932
17,"AOA CREAM","","female","n",16,"2016","","","",0
18,"Apink","에이핑크","female","n",0,"2011","","K=Apink;F=Official.Apink2011;T=apink_2011;V=FDE29;VS=21;I=official.apink2011","a:4:{s:2:"VS";i:2119207;s:1:"T";s:6:"824223";s:1:"F";d:1000000;s:1:"I";s:6:"445368";}",5431102
19,"April","에이프릴","female","n",0,"2015","","K=April_(girl_group);T=april_dspmedia;F=APRIL.DSPmedia;V=FA59B;VS=78;I=official.april;Y=UCzd-QY2q6hFyNb_bn9vtWQw","a:5:{s:2:"VS";i:225483;s:1:"T";s:5:"53400";s:1:"F";d:56352;s:1:"Y";s:5:"87277";s:1:"I";s:6:"106260";}",528772
20,"ASTRO","아스트로","male","n",0,"2016","","K=Astro_(South_Korean_band);F=offclASTRO;W=cafe.daum.net/fantagio-boys;T=offclastro;V=F6F107;VS=132;I=officialastro;Y=UCZqY2yIsAM9wh3vvMwKd27g","a:5:{s:2:"VS";i:1320478;s:1:"T";s:7:"1294783";s:1:"F";d:493000;s:1:"Y";s:7:"1101794";s:1:"I";s:7:"1577187";}",5787242
22,"B.A.P","비에이피","male","n",0,"2012","","K=B.A.P_(South_Korean_band);V=FA49D;VS=79;T=BapJapanstaff;F=OFFICIALB.A.P","a:3:{s:2:"VS";i:988090;s:1:"T";s:5:"47166";s:1:"F";d:9000000;}",10035256
23,"B1A4","비원에이포","male","n",0,"2011","","K=B1A4;W=b1a4.com;F=wm.b1a4;T=_B1A4OFFICIAL;V=FE31F;VS=167;I=b1a4ganatanatda","a:4:{s:2:"VS";i:13380;s:1:"T";s:6:"351199";s:1:"F";d:287000;s:1:"I";s:6:"360276";}",1027219
24,"Baek A Yeon","백아연","female","y",0,"2012","","K=Baek_A-yeon;W=100ayeon.jype.com;T=100ayeon;F=100ayeon;I=ayeoniiiiii","a:3:{s:1:"T";s:6:"328401";s:1:"F";d:535000;s:1:"I";s:6:"426738";}",1291823
25,"Baekhyun","변백현","male","y",61,"2015","","K=Byun_Baek-hyun;I=baekhyunee_exo;T=b_hundred_hyun","a:2:{s:1:"T";s:7:"1542721";s:1:"I";s:8:"13539555";}",15082276
26,"Beast","비스트","male","n",0,"2009","2016","K=Highlight_(band);F=beast.unitedcube;T=b2st_official;V=FE025;VS=19;I=yysbeast","a:4:{s:2:"VS";i:1269196;s:1:"T";s:4:"2520";s:1:"F";d:1000000;s:1:"I";s:7:"1313071";}",3653545
27,"BESTie","베스티","female","n",0,"2013","","K=Bestie_(band);F=bestiestory;T=officialBESTie","a:2:{s:1:"T";s:5:"31037";s:1:"F";d:143000;}",177270
28,"BIGBANG","빅뱅","male","n",0,"2006","","V=F13F;VS=2;W=bigbangmusic.info;T=_BBmusic;F=BIGBANG.BB.music;K=Big_Bang_(South_Korean_band);I=2ne1official","a:4:{s:2:"VS";i:5067591;s:1:"T";s:5:"15946";s:1:"F";d:5593;s:1:"I";s:6:"296772";}",5385902
29,"BIGBANG + 2NE1","","coed","n",0,"2009","2009","","",0
30,"Bigstar","빅스타","male","n",0,"2012","","K=Big_Star_(South_Korean_band);T=bravebigstar;W=bigstar.bravesound.com;F=bravesoundbigstar;V=E5B32F;VS=408;I=bravebigstar","a:4:{s:2:"VS";i:28458;s:1:"T";s:5:"24878";s:1:"F";d:19310;s:1:"I";s:5:"25779";}",98450
31,"Blackpink","블랙핑크","female","n",0,"2016","","K=Black_Pink;F=BLACKPINKOFFICIAL;T=ygofficialblink;V=F001E5;VS=243;I=blackpinkofficial;Y=UCOmHUn--16B90oW2L6FRR3A","a:5:{s:2:"VS";i:4402598;s:1:"T";s:7:"1160736";s:1:"F";d:6000000;s:1:"Y";s:8:"13502811";s:1:"I";s:8:"12883413";}",37949558
32,"Block B","블락비","male","n",0,"2011","","K=Block_B;F=BlockBOfficial;W=cafe.daum.net/BB-Club;T=blockb_official;V=FBA71;VS=57;I=blockb_official_","a:4:{s:2:"VS";i:1119184;s:1:"T";s:6:"503528";s:1:"F";d:4000000;s:1:"I";s:6:"173602";}",5796314
33,"BoA","권보아","female","y",0,"2000","","K=BoA;F=boa.smtown;T=boakwon;I=boakwon","a:3:{s:1:"T";s:7:"3405996";s:1:"F";d:3000000;s:1:"I";s:7:"2999752";}",9422922
34,"Boyfriend","보이프렌드","male","n",0,"2011","","K=Boyfriend_(band);F=officialBF;T=g_boyfriend;W=cafe.daum.net/BOYFRIEND;V=F2419D;VS=207;I=boyfriend_6","a:4:{s:2:"VS";i:256999;s:1:"T";s:6:"347541";s:1:"F";d:3000000;s:1:"I";s:6:"124705";}",3748269
