#Videos: id, id_parent (main video id), id_artist (from Artist table), name, video type (main/alternate/duplicate/dance), youtube link ID, views, likes, publishedon, lastupdate, dead (y means it was removed from youtube)
1,0,101,"When would it be","main","o6HFiVaK15I",7810074,46708,"2014-10-30","2018-11-13 18:06:02","n"
2,0,100,"Not Spring,love or Cherry Blossoms","main","ouR4nn1G9r4",83673988,438132,"2014-04-07","2018-11-15 05:46:01","n"
3,0,98,"Good day","main","jeqdYqsrsA0",31159672,196615,"2011-02-07","2018-11-15 07:04:01","n"
4,3,98,"Good day","alternate","va193VEo5hk",1568437,11076,"2011-06-08","2018-11-13 18:09:27","n"
6,0,98,"You & I","main","f_iQRO5BdCM",23419077,158567,"2011-11-28","2018-11-15 07:09:25","n"
7,6,98,"You & I","duplicate","NJR8Inf77Ac",18362041,92905,"2011-12-05","2018-11-15 07:22:02","n"
8,0,98,"SOGYEOKDONG","main","GHu39FEFIks",7969598,45247,"2014-10-05","2018-11-15 11:02:02","n"
9,0,98,"The red shoes","main","Q0xvVgKJxfs",13966139,92537,"2013-10-07","2018-11-14 23:55:47","n"
10,9,98,"The red shoes","alternate","js3PTlQFakk",1873278,16634,"2013-10-20","2018-11-13 18:18:02","n"
12,0,98,"Naui Yetnal Iyagi","main","npttud7NkL0",17651693,99672,"2014-05-15","2018-11-15 07:24:01","n"
14,0,98,"Friday (ft Jang Yi-jeong)","main","EiVmQZwJhsA",27901971,138766,"2013-12-19","2018-11-15 07:12:01","n"
16,17,77,"Darling","duplicate","JP9NuaxhgcM",5075558,49133,"2014-07-13","2018-11-13 18:19:49","n"
17,0,77,"Darling","main","QB4dQcxgJPY",42176925,173686,"2014-07-13","2018-11-14 17:14:02","n"
22,0,77,"Something","main","akPDKYwIoVk",27273523,168246,"2014-01-02","2018-11-13 18:22:01","n"
23,22,77,"Something","duplicate","JO7qQ7peKeM",16456508,137861,"2014-01-02","2018-11-13 18:27:02","n"
24,22,77,"Something","alternate","zVO5xTAbxm8",17779268,183645,"2014-01-16","2018-11-13 18:31:04","n"
25,22,77,"Something","duplicate","Gdma5UiMaEQ",12775403,97005,"2014-01-16","2018-11-13 18:32:02","n"
29,0,77,"Female President","main","xF3MC8PWgJE",24708926,116254,"2013-06-23","2018-11-13 18:41:04","n"
30,29,77,"Female President","alternate","U8ybc5lM4DM",8162752,51861,"2013-06-28","2018-11-13 18:44:07","n"
31,29,77,"Female President","duplicate","v0f9ifrDSp8",7764732,42975,"2013-06-23","2018-11-13 18:46:01","n"
34,35,77,"Expectation","duplicate","iUtGJtyoIfg",9339501,68962,"2013-03-13","2018-11-13 18:52:01","n"
35,0,77,"Expectation","main","t8YXut6_56c",38803614,173235,"2013-03-13","2018-11-14 16:43:06","n"
36,35,77,"Expectation","alternate","fqR2HGkjFCA",26022063,149528,"2013-03-17","2018-11-13 11:00:02","n"
40,41,77,"Don&#39;t Forget Me","duplicate","w2S7ljcA7NM",3104968,24952,"2012-10-25","2018-11-13 18:59:08","n"
41,0,77,"Don&#39;t Forget Me","main","_H7ZG7yk5Wo",12998922,70302,"2012-10-25","2018-11-13 19:04:02","n"
43,0,77,"Twinkle Twinkle","main","DWpl2CaCnVA",15923253,83207,"2011-03-15","2018-11-13 19:06:02","n"
44,43,77,"Twinkle Twinkle","duplicate","EEEIN-mtN6c",3463506,16743,"2011-03-17","2018-11-13 19:08:01","n"
46,0,174,"Give It To Me","main","p6XLNsJ9YrA",51063392,212874,"2013-06-10","2018-11-15 09:56:02","n"
47,46,174,"Give It To Me","dance","jOBE9QSO9II",11282100,52511,"2013-06-19","2018-11-13 19:10:02","n"
52,0,174,"Loving U","main","oL2AlXWVbKU",35987278,148163,"2012-06-27","2018-11-15 20:12:01","n"
53,52,174,"Loving U","dance","RK_TkMWTdiw",12741430,54488,"2012-07-02","2018-11-13 19:11:05","n"
58,0,174,"Alone","main","E0ZHXVp_wUE",90077524,307866,"2012-04-11","2018-11-15 09:45:40","n"
63,0,174,"So Cool","main","Pj3q0ZChgFE",60027619,186983,"2011-08-08","2018-11-15 09:16:01","n"
64,63,174,"So Cool","dance","UNAVw-Sbp1U",9395256,28474,"2011-08-18","2018-11-13 19:14:01","n"
65,0,175,"Gone not around any longer","main","JtVhwsACgTw",36413708,164654,"2013-01-30","2018-11-12 20:10:02","n"
66,65,175,"Gone not around any longer","dance","DY6vTTGNc64",2294484,19517,"2013-02-07","2018-11-13 19:16:02","n"
75,1057,174,"Touch my Body","duplicate","Q33SoblaZbU",18589847,141371,"2014-07-20","2018-11-13 19:20:02","n"
76,1057,174,"Touch my Body","dance","5IT2rFeF6XQ",22371448,88581,"2014-07-21","2018-11-13 19:22:02","n"
85,0,174,"I Swear","main","ktEEjk3Xy3s",23532799,130576,"2014-08-25","2018-11-13 19:24:01","n"
86,85,174,"I Swear","duplicate","8PrNPhVexE4",22518102,133951,"2014-08-25","2018-11-13 19:26:02","n"
